id_anime;nom_anime;note_anime;membres_anime;id_genre;id_type
32281;Kimi no Na wa.;9.37;200630;49;1
5114;Fullmetal Alchemist: Brotherhood;9.26;793665;43;6
28977;Gintama°;9.25;114262;43;6
32935;Haikyuu!!: Karasuno Koukou VS Shiratorizawa Gakuen Koukou;9.15;93351;46;6
11061;Hunter x Hunter (2011);9.13;425855;43;6
820;Ginga Eiyuu Densetsu;9.11;80679;49;4
15335;Gintama Movie: Kanketsu-hen - Yorozuya yo Eien Nare;9.10;72534;43;1
4181;Clannad: After Story;9.06;456749;49;6
28851;Koe no Katachi;9.05;102733;49;1
918;Gintama;9.04;336376;43;6
2904;Code Geass: Hangyaku no Lelouch R2;8.98;572888;43;6
28891;Haikyuu!! Second Season;8.93;179342;46;6
199;Sen to Chihiro no Kamikakushi;8.93;466254;44;1
23273;Shigatsu wa Kimi no Uso;8.92;416397;49;6
24701;Mushishi Zoku Shou 2nd Season;8.88;75894;44;6
12355;Ookami Kodomo no Ame to Yuki;8.84;226193;51;1
1575;Code Geass: Hangyaku no Lelouch;8.83;715151;43;6
263;Hajime no Ippo;8.83;157670;46;6
44;Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen;8.83;129307;43;4
1;Cowboy Bebop;8.82;486824;43;6
30276;One Punch Man;8.82;552458;43;6
164;Mononoke Hime;8.81;339556;43;1
7311;Suzumiya Haruhi no Shoushitsu;8.81;240297;46;1
17074;Monogatari Series: Second Season;8.80;205959;46;6
21939;Mushishi Zoku Shou;8.80;101351;44;6
457;Mushishi;8.78;300030;44;6
2001;Tengen Toppa Gurren Lagann;8.78;562962;43;6
245;Great Teacher Onizuka;8.77;268487;46;6
32983;Natsume Yuujinchou Go;8.76;38865;49;6
5258;Hajime no Ippo: New Challenger;8.75;88995;46;6
28957;Mushishi Zoku Shou: Suzu no Shizuku;8.75;32266;44;1
11665;Natsume Yuujinchou Shi;8.75;98431;49;6
431;Howl no Ugoku Shiro;8.74;333186;44;1
11741;Fate/Zero 2nd Season;8.73;340973;43;6
31757;Kizumonogatari II: Nekketsu-hen;8.73;34347;43;1
19;Monster;8.72;247562;49;6
12365;Bakuman. 3rd Season;8.71;133620;46;6
1535;Death Note;8.71;1013917;64;6
32366;Gintama°: Aizome Kaori-hen;8.69;16947;46;4
30654;Ansatsu Kyoushitsu (TV) 2nd Season;8.68;176475;43;6
20583;Haikyuu!!;8.68;284498;46;6
19647;Hajime no Ippo: Rising;8.68;66756;46;6
4282;Kara no Kyoukai 5: Mujun Rasen;8.68;111074;43;1
10379;Natsume Yuujinchou San;8.67;102322;49;6
22135;Ping Pong The Animation;8.67;97187;67;6
21329;Mushishi Special: Hihamukage;8.66;49036;44;5
31043;Boku dake ga Inai Machi;8.65;402381;64;6
7785;Yojouhan Shinwa Taikei;8.65;122531;64;6
3297;Aria The Origination;8.64;56162;51;6
30709;Kamisama Hajimemashita: Kako-hen;8.64;33422;46;4
6114;Rainbow: Nisha Rokubou no Shichinin;8.64;139474;49;6
31240;Re:Zero kara Hajimeru Isekai Seikatsu;8.64;355839;49;6
4565;Tengen Toppa Gurren Lagann Movie: Lagann-hen;8.64;82253;43;1
5300;Zoku Natsume Yuujinchou;8.64;114173;49;6
9989;Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.;8.62;463835;49;6
24415;Kuroko no Basket 3rd Season;8.62;184525;46;6
10408;Hotarubi no Mori e;8.61;197439;49;1
28171;Shokugeki no Souma;8.61;348951;50;6
32995;Yuri!!! on Ice;8.61;103178;46;6
21899;Gintama: Yorinuki Gintama-san on Theater 2D;8.60;11104;43;1
26055;JoJo no Kimyou na Bouken: Stardust Crusaders 2nd Season;8.60;93657;43;6
7472;Gintama Movie: Shinyaku Benizakura-hen;8.59;51185;43;1
777;Hellsing Ultimate;8.59;297454;43;4
22535;Kiseijuu: Sei no Kakuritsu;8.59;425457;43;6
28735;Shouwa Genroku Rakugo Shinjuu;8.59;71295;49;6
12431;Uchuu Kyoudai;8.59;72958;46;6
28805;Bakemono no Ko;8.58;80825;44;1
578;Hotaru no Haka;8.58;174878;49;1
16894;Kuroko no Basket 2nd Season;8.58;243325;46;6
5028;Major S5;8.58;28653;46;6
21;One Piece;8.58;504862;43;6
801;Ghost in the Shell: Stand Alone Complex 2nd GIG;8.57;113993;43;6
31933;JoJo no Kimyou na Bouken: Diamond wa Kudakenai;8.57;74074;43;6
5205;Kara no Kyoukai 7: Satsujin Kousatsu (Kou);8.57;95658;43;1
17389;Kingdom 2nd Season;8.57;31234;43;6
170;Slam Dunk;8.56;82570;46;6
10162;Usagi Drop;8.56;194855;57;6
18617;Girls und Panzer der Film;8.55;25641;62;1
32182;Mob Psycho 100;8.55;193716;43;6
877;Nana;8.55;197256;46;6
2251;Baccano!;8.54;363215;43;6
24687;Mushishi Zoku Shou: Odoro no Michi;8.54;34011;44;5
16498;Shingeki no Kyojin;8.54;896229;43;6
10030;Bakuman. 2nd Season;8.53;151561;46;6
5941;Cross Game;8.53;53108;46;6
30346;Doukyuusei (Movie);8.53;28864;68;1
3784;Evangelion: 2.0 You Can (Not) Advance;8.53;182224;43;1
13125;Shinsekai yori;8.53;288376;49;6
12029;Uchuu Senkan Yamato 2199;8.53;44223;43;4
14397;Chihayafuru 2;8.52;86074;49;6
10087;Fate/Zero;8.51;453630;43;6
14719;JoJo no Kimyou na Bouken (TV);8.51;190197;43;6
9756;Mahou Shoujo Madoka★Magica;8.51;462974;49;6
10165;Nichijou;8.52;254436;46;6
13601;Psycho-Pass;8.50;509109;43;6
22789;Barakamon;8.50;225927;46;6
30230;Diamond no Ace: Second Season;8.50;38531;46;6
18115;Magi: The Kingdom of Magic;8.50;245026;43;6
11981;Mahou Shoujo Madoka★Magica Movie 3: Hangyaku no Monogatari;8.50;135735;49;1
11917;Major: World Series;8.50;13405;46;4
205;Samurai Champloo;8.50;390076;43;6
32282;Shokugeki no Souma: Ni no Sara;8.50;185015;50;6
6594;Katanagatari;8.49;207241;43;6
11979;Mahou Shoujo Madoka★Magica Movie 2: Eien no Monogatari;8.49;85361;49;1
7655;Major S6;8.49;24788;46;6
2246;Mononoke;8.49;88850;48;6
25835;Shirobako;8.49;146895;46;6
2921;Ashita no Joe 2;8.48;6259;49;6
136;Hunter x Hunter;8.48;166255;43;6
30503;Noragami Aragoto;8.48;299434;43;6
12531;Sakamichi no Apollon;8.48;146592;49;6
523;Tonari no Totoro;8.48;271484;44;1
467;Ghost in the Shell: Stand Alone Complex;8.47;194491;43;6
572;Kaze no Tani no Nausicaä;8.47;143273;44;1
19815;No Game No Life;8.47;602291;44;6
2559;Romeo no Aoi Sora;8.47;15074;44;6
392;Yuu☆Yuu☆Hakusho;8.47;195017;43;6
486;Kino no Tabi: The Beautiful World;8.46;102822;43;6
11771;Kuroko no Basket;8.46;338315;46;6
1698;Nodame Cantabile;8.46;157025;46;6
5341;Ookami to Koushinryou II;8.46;210491;44;6
25781;Shingeki no Kyojin: Kuinaki Sentaku;8.45;92543;43;4
28701;Fate/stay night: Unlimited Blade Works 2nd Season;8.45;205987;43;6
5420;Kemono no Souja Erin;8.45;36751;49;6
9260;Kizumonogatari I: Tekketsu-hen;8.45;99579;64;1
32;Neon Genesis Evangelion: The End of Evangelion;8.45;215630;47;1
4224;Toradora!;8.45;633817;46;6
2236;Toki wo Kakeru Shoujo;8.44;289206;44;1
2685;Tsubasa: Tokyo Revelations;8.44;57963;43;4
31181;Owarimonogatari;8.43;107855;46;6
45;Rurouni Kenshin: Meiji Kenkaku Romantan;8.43;218928;43;6
2418;Stranger: Mukou Hadan;8.43;125503;43;1
1365;Detective Conan Movie 06: The Phantom of Baker Street;8.42;28462;44;1
22297;Fate/stay night: Unlimited Blade Works;8.42;267484;43;6
627;Major S1;8.42;41061;46;6
10937;Mobile Suit Gundam: The Origin;8.42;15420;43;4
23755;Nanatsu no Taizai;8.42;331627;43;6
4081;Natsume Yuujinchou;8.42;210736;49;6
4155;One Piece Film: Strong World;8.42;85020;43;1
1889;Higurashi no Naku Koro ni Kai;8.41;218101;64;6
137;Hunter x Hunter OVA;8.41;53168;43;4
139;Hunter x Hunter: Greed Island Final;8.41;55787;43;4
23317;Kuroshitsuji: Book of Murder;8.41;67261;46;4
558;Major S2;8.41;30689;46;6
5040;One Outs;8.41;83056;67;6
57;Beck;8.40;148328;46;6
33;Berserk;8.40;226430;43;6
5;Cowboy Bebop: Tengoku no Tobira;8.40;137636;43;1
1842;Major S3;8.40;29528;49;6
6336;Mobile Suit Gundam Unicorn;8.40;42076;43;4
20651;Natsume Yuujinchou: Itsuka Yuki no Hi ni;8.40;28302;49;4
1210;NHK ni Youkoso!;8.40;291228;46;6
338;Rose of Versailles;8.40;32188;44;6
13759;Sakurasou no Pet na Kanojo;8.40;380375;46;6
6547;Angel Beats!;8.39;717796;43;6
5081;Bakemonogatari;8.39;482268;64;6
32867;Bungou Stray Dogs 2nd Season;8.39;83641;64;6
264;Hajime no Ippo: Champion Road;8.39;47840;46;5
12859;One Piece Film: Z;8.39;76051;43;1
853;Ouran Koukou Host Club;8.39;422271;46;6
5460;Detective Conan Movie 13: The Raven Chaser;8.38;21798;43;1
6746;Durarara!!;8.38;556431;43;6
5690;Nodame Cantabile Finale;8.38;67697;46;6
329;Planetes;8.38;105044;49;6
34240;Shelter;8.38;71136;63;2
513;Tenkuu no Shiro Laputa;8.38;151061;44;1
6945;Gintama: Shiroyasha Koutan;8.37;27213;43;5
1142;Hachimitsu to Clover II;8.37;61493;49;6
6811;InuYasha: Kanketsu-hen;8.37;99128;43;6
16664;Kaguya-hime no Monogatari;8.37;45547;51;1
1604;Katekyo Hitman Reborn!;8.37;258103;43;6
22145;Kuroshitsuji: Book of Circus;8.37;122895;46;6
2966;Ookami to Koushinryou;8.37;334932;44;6
31964;Boku no Hero Academia;8.36;282002;43;6
19363;Gin no Saji 2nd Season;8.36;67032;46;6
18195;Little Busters!: Refrain;8.36;71820;46;6
9890;Major: Message;8.36;12282;46;4
9130;Saint Seiya: The Lost Canvas - Meiou Shinwa 2;8.36;27532;43;4
9863;SKET Dance;8.36;101027;46;6
7674;Bakuman.;8.35;246899;46;6
11843;Danshi Koukousei no Nichijou;8.35;258914;46;6
16782;Kotonoha no Niwa;8.35;189741;49;1
3226;Major S4;8.35;28002;46;6
21557;Omoide no Marnie;8.35;53590;49;1
31715;Working!!!: Lord of the Takanashi;8.34;31856;46;5
43;Ghost in the Shell;8.34;223036;43;1
9617;K-On! Movie;8.34;115252;46;1
31051;Kuroko no Basket: Saikou no Present Desu;8.34;22900;43;5
1033;Sennen Joyuu;8.34;58492;43;1
3091;xxxHOLiC Kei;8.34;74941;46;6
12115;Berserk: Ougon Jidai-hen III - Kourin;8.33;65594;43;1
28223;Death Parade;8.33;383914;49;6
121;Fullmetal Alchemist;8.33;600384;43;6
3002;Gyakkyou Burai Kaiji: Ultimate Survivor;8.33;98996;52;6
138;Hunter x Hunter: Greed Island;8.33;57029;43;4
6675;Redline;8.33;109392;43;1
10800;Chihayafuru;8.32;158561;49;6
32005;Detective Conan Movie 20: The Darkest Nightmare;8.32;6229;43;1
813;Dragon Ball Z;8.32;375662;43;6
27821;Fate/stay night: Unlimited Blade Works - Prologue;8.32;106382;43;5
28725;Kokoro ga Sakebitagatterunda.;8.32;59652;49;1
585;Mimi wo Sumaseba;8.32;94435;44;1
16067;Nagi no Asukara;8.32;224947;49;6
30;Neon Genesis Evangelion;8.32;461946;43;6
31490;One Piece Film: Gold;8.32;18642;43;1
759;Tokyo Godfathers;8.32;89424;46;1
6;Trigun;8.32;283069;43;6
6864;xxxHOLiC Rou;8.32;36353;64;4
9735;Gintama: Shinyaku Benizakura-hen;8.31;14002;43;5
11977;Mahou Shoujo Madoka★Magica Movie 1: Hajimari no Monogatari;8.31;88164;49;1
11123;Sekaiichi Hatsukoi 2;8.31;69253;46;6
23847;Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku;8.31;222994;46;6
33161;Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku OVA;8.31;35120;46;4
962;Aria The Natural;8.30;39596;51;6
1519;Black Lagoon: The Second Barrage;8.30;203233;43;6
2167;Clannad;8.30;566690;46;6
16706;Kami nomi zo Shiru Sekai: Megami-hen;8.30;142612;46;6
5681;Summer Wars;8.30;223359;46;1
3901;Baccano! Specials;8.29;100412;43;5
6467;Detective Conan Movie 14: The Lost Ship in the Sky;8.29;20602;43;1
10271;Gyakkyou Burai Kaiji: Hakairoku-hen;8.29;55566;52;6
22507;Initial D Final Stage;8.29;19702;45;6
3701;Kaiba;8.29;56927;44;6
19123;One Piece: Episode of Merry - Mou Hitori no Nakama no Monogatari;8.29;17247;43;5
33255;Saiki Kusuo no Ψ-nan (TV);8.29;47092;46;6
372;Cardcaptor Sakura Movie 2: Fuuin Sareta Card;8.28;60637;46;1
265;Hajime no Ippo: Mashiba vs. Kimura;8.28;40623;46;4
25681;Kamisama Hajimemashita◎;8.28;91796;46;6
4722;Skip Beat!;8.28;134818;46;6
24277;Yowamushi Pedal: Grande Road;8.28;50778;46;6
239;Gankutsuou;8.27;103828;49;6
512;Majo no Takkyuubin;8.27;152331;44;1
4477;Nodame Cantabile: Paris-hen;8.27;70822;46;6
15323;One Piece: Episode of Nami - Koukaishi no Namida to Nakama no Kizuna;8.27;24707;43;5
31174;Osomatsu-san;8.27;60988;46;6
23327;Space☆Dandy 2nd Season;8.27;60918;46;6
5365;Tsumiki no Ie;8.27;45189;49;1
3702;Detroit Metal City;8.26;104893;46;4
3167;Eve no Jikan;8.26;99074;71;3
7465;Eve no Jikan (Movie);8.26;66376;71;1
7054;Kaichou wa Maid-sama!;8.26;391628;46;6
1257;Saint Seiya: Meiou Hades Juuni Kyuu-hen;8.26;23701;44;4
23283;Zankyou no Terror;8.26;342893;67;6
2025;Darker than Black: Kuro no Keiyakusha;8.25;440334;43;6
235;Detective Conan;8.25;114702;44;6
1364;Detective Conan Movie 05: Countdown to Heaven;8.25;25432;44;1
18689;Diamond no Ace;8.25;81384;46;6
22043;Fairy Tail (2014);8.25;255076;43;6
31988;Hibike! Euphonium 2;8.25;47716;49;6
20899;JoJo no Kimyou na Bouken: Stardust Crusaders;8.25;120089;43;6
1453;Maison Ikkoku;8.25;22079;46;6
23623;Non Non Biyori Repeat;8.26;64230;46;6
1559;Shijou Saikyou no Deshi Kenichi;8.25;129112;43;6
